outer_fold,test_subjects,outer_development_subjects,model_name,candidate_index,candidate_id,candidate_parameters_json,eligible_for_selection,selection_rank,is_selected,complexity_rank,fold_count,mean_macro_f1,std_macro_f1,mean_balanced_accuracy,std_balanced_accuracy,mean_weighted_f1,std_weighted_f1,mean_accuracy,std_accuracy,mean_cohen_kappa,std_cohen_kappa,mean_multiclass_log_loss,std_multiclass_log_loss
2,1,"0,2,3",random_forest,6,random_forest__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,1,True,3,3,0.644983083224,0.0588946197868,0.667455200798,0.0512909975716,0.756399178001,0.0400757262471,0.759722198731,0.0459357393174,0.655764825604,0.0793546170433,0.642973751538,0.0895569863433
2,1,"0,2,3",random_forest,7,random_forest__candidate_007,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,23,False,3,3,0.612482200593,0.052154798355,0.618268161187,0.0587826689685,0.733290413355,0.0313128550687,0.743977517111,0.0197180971279,0.625893973874,0.0507235372845,0.628649267817,0.0710304254444
2,1,"0,2,3",random_forest,8,random_forest__candidate_008,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,4,False,3,3,0.638107434578,0.0724427974922,0.655633254333,0.0683228780829,0.752116742266,0.046268530989,0.75458814569,0.0448970174191,0.645920411445,0.08261425605,0.622647957365,0.114225947097
2,1,"0,2,3",extra_trees,1,extra_trees__candidate_001,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,14,False,4,3,0.62619787802,0.0365138661873,0.640111510542,0.0210526261829,0.746078461155,0.0269522750889,0.754550476262,0.020385616665,0.646588714775,0.0424876145338,0.667270647891,0.0651298122373
2,1,"0,2,3",extra_trees,2,extra_trees__candidate_002,"{""classifier__max_depth"":null,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,13,False,4,3,0.626271832287,0.0651547470611,0.667939037032,0.0398361699555,0.735439125371,0.0515173003257,0.735634270877,0.0624978347175,0.630371347338,0.0967568744861,0.71572844336,0.0949742296174
2,1,"0,2,3",extra_trees,3,extra_trees__candidate_003,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,12,False,4,3,0.628240935682,0.0332269126,0.640211789818,0.021001192814,0.748581421077,0.0243460854664,0.756453530979,0.0147388812913,0.649327213317,0.0343223910378,0.635621159467,0.0585395317484
2,1,"0,2,3",extra_trees,4,extra_trees__candidate_004,"{""classifier__max_depth"":null,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,8,False,4,3,0.63341130443,0.0674389629288,0.668894729984,0.0450764812485,0.741544289976,0.0507881800313,0.742137311118,0.0579751556105,0.637122824221,0.0928456227499,0.67416079406,0.109490287518
2,1,"0,2,3",extra_trees,5,extra_trees__candidate_005,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":1}",True,17,False,4,3,0.621707991636,0.0366460268717,0.642669955085,0.0189840105019,0.738661516708,0.0265432882624,0.742177185714,0.0240565946638,0.633165374901,0.047378115318,0.676376933164,0.0679424471256
2,1,"0,2,3",extra_trees,6,extra_trees__candidate_006,"{""classifier__max_depth"":12,""classifier__max_features"":""sqrt"",""classifier__min_samples_leaf"":4}",True,18,False,4,3,0.618357105695,0.0619476053733,0.659834104328,0.0374534047276,0.730948706112,0.0494542271486,0.731001003516,0.0615837585309,0.624219560915,0.0954275889265,0.721138715439,0.0951018557885
2,1,"0,2,3",extra_trees,7,extra_trees__candidate_007,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":1}",True,7,False,4,3,0.633489838726,0.0458987513747,0.651652599387,0.0314786102216,0.751885408931,0.0309598365302,0.759418713688,0.0311740786991,0.654556139693,0.0599345193035,0.633604045579,0.06847837534
2,1,"0,2,3",extra_trees,8,extra_trees__candidate_008,"{""classifier__max_depth"":12,""classifier__max_features"":0.5,""classifier__min_samples_leaf"":4}",True,5,False,4,3,0.637339604697,0.0712838098124,0.671957374289,0.0472656425725,0.743988832175,0.0530034459049,0.744419345303,0.0605145428233,0.640109858225,0.096125524833,0.674126130192,0.106636433397
3,2,"0,1,3",dummy_prior,1,dummy_prior__candidate_001,{},False,,False,0,3,0.1205591743,0.0204354896758,0.2,2.77555756156e-17,0.274696418052,0.0979068857118,0.438746144777,0.100042166971,0,0,1.49963287029,0.156518820558
3,2,"0,1,3",logistic_regression,1,logistic_regression__candidate_001,"{""classifier__C"":0.1}",True,25,False,1,3,0.595343189903,0.074930560543,0.653996461741,0.0451845120289,0.708081185897,0.0579322060356,0.709435209904,0.066586727511,0.601816975699,0.100143881105,0.830770781799,0.126848780898
3,2,"0,1,3",logistic_regression,2,logistic_regression__candidate_002,"{""classifier__C"":1.0}",True,10,False,1,3,0.612129964783,0.0604013125489,0.665355084137,0.0382118481091,0.723770876965,0.0450635672495,0.720025152629,0.0535674003195,0.615932281192,0.0833740101253,0.969513832292,0.194390755083
3,2,"0,1,3",logistic_regression,3,logistic_regression__candidate_003,"{""classifier__C"":10.0}",True,7,False,1,3,0.62045579492,0.0529871137304,0.662945516622,0.0359075655969,0.730463836506,0.0383788780738,0.722689353063,0.0481233582771,0.6183117206,0.0770906685309,1.04676776906,0.222242424622
3,2,"0,1,3",sgd_logistic,1,sgd_logistic__candidate_001,"{""classifier__alpha"":1e-05,""classifier__penalty"":""l2""}",True,15,False,2,3,0.606023945455,0.0514352874322,0.653102899535,0.0313353061535,0.723346911826,0.0398876594563,0.726026502149,0.0475040822399,0.619083824381,0.0779780943432,6.11811926068,0.377505104543
3,2,"0,1,3",sgd_logistic,2,sgd_logistic__candidate_002,"{""classifier__alpha"":0.0001,""classifier__penalty"":""l2""}",True,14,False,2,3,0.609436828615,0.0506784753999,0.659344642104,0.0328238495019,0.730863023987,0.0391950047284,0.736216454504,0.0455065693534,0.632135848834,0.0754214678554,2.40138789367,0.131033005794
3,2,"0,1,3",sgd_logistic,3,sgd_logistic__candidate_003,"{""classifier__alpha"":0.001,""classifier__penalty"":""l2""}",True,22,False,2,3,0.600842685247,0.0541607599268,0.658391687614,0.0326418267441,0.729063831089,0.0406641760537,0.74114073824,0.0472334564739,0.637631202535,0.0775289700446,0.94783854568,0.0265742610417
3,2,"0,1,3",sgd_logistic,4,sgd_logistic__candidate_004,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.15,""classifier__penalty"":""elasticnet""}",True,18,False,2,3,0.604346443516,0.0546757283312,0.653202989039,0.0343226070277,0.723147554387,0.0414290016236,0.726566657551,0.0475487639723,0.619882945566,0.0780499814419,6.1132377904,0.512546501717
3,2,"0,1,3",sgd_logistic,5,sgd_logistic__candidate_005,"{""classifier__alpha"":1e-05,""classifier__l1_ratio"":0.5,""classifier__penalty"":""elasticnet""}",True,16,False,2,3,0.605687886685,0.0469331128575,0.652222851138,0.0331126840346,0.723856304553,0.0336339088676,0.726262926887,0.0392230172154,0.618961973925,0.0675727577579,6.01319092373,0.432699295365
